State,Year,Quarter,Pincode,Registered_users,Region
Andaman And Nicobar Islands,2024,1,744102,11589,
Andaman And Nicobar Islands,2024,1,744202,5978,
Andaman And Nicobar Islands,2024,1,744107,5006,
Andaman And Nicobar Islands,2024,1,744104,4398,
Andaman And Nicobar Islands,2024,1,744112,3629,
Andaman And Nicobar Islands,2024,1,744211,3292,
Andaman And Nicobar Islands,2024,1,744205,2975,
Andaman And Nicobar Islands,2024,2,744103,22049,
Andaman And Nicobar Islands,2024,2,744105,19314,
Andaman And Nicobar Islands,2024,2,744101,18110,
Andaman And Nicobar Islands,2024,2,744102,12053,
Andaman And Nicobar Islands,2024,2,744202,6212,
Andaman And Nicobar Islands,2024,2,744107,5184,
Andaman And Nicobar Islands,2024,2,744104,4570,
Andaman And Nicobar Islands,2024,2,744112,3761,
Andaman And Nicobar Islands,2024,2,744211,3409,
Andaman And Nicobar Islands,2024,2,744205,3090,
Andaman And Nicobar Islands,2024,3,744103,42228,
Andaman And Nicobar Islands,2024,3,744105,22090,
Andaman And Nicobar Islands,2024,3,744102,17618,
Andaman And Nicobar Islands,2024,3,744104,17606,
Andaman And Nicobar Islands,2024,3,744101,11136,
Andaman And Nicobar Islands,2024,3,744202,9206,
Andaman And Nicobar Islands,2024,3,744106,7682,
Andaman And Nicobar Islands,2024,3,744211,7045,
Andaman And Nicobar Islands,2024,3,744107,6127,
Andaman And Nicobar Islands,2024,3,744301,4126,
Andaman And Nicobar Islands,2024,4,744103,43485,
Andaman And Nicobar Islands,2024,4,744105,22976,
Andaman And Nicobar Islands,2024,4,744104,18509,
Andaman And Nicobar Islands,2024,4,744102,18169,
Andaman And Nicobar Islands,2024,4,744101,11564,
Andaman And Nicobar Islands,2024,4,744202,9545,
Andaman And Nicobar Islands,2024,4,744106,7974,
Andaman And Nicobar Islands,2024,4,744211,7337,
Andaman And Nicobar Islands,2024,4,744107,6333,
Andaman And Nicobar Islands,2024,4,744301,4221,
Andhra Pradesh,2018,1,517501,39884,Southern Region
Andhra Pradesh,2018,1,530016,34201,Southern Region
Andhra Pradesh,2018,1,517507,34111,Southern Region
Andhra Pradesh,2018,1,515001,31964,Southern Region
Andhra Pradesh,2018,1,516001,29078,Southern Region
Andhra Pradesh,2018,1,518002,29043,Southern Region
Andhra Pradesh,2018,1,530026,26889,Southern Region
Andhra Pradesh,2018,1,516360,26187,Southern Region
Andhra Pradesh,2018,1,520010,24397,Southern Region
Andhra Pradesh,2018,1,524002,23439,Southern Region
Andhra Pradesh,2018,2,517501,53468,Southern Region
Andhra Pradesh,2018,2,517507,45241,Southern Region
Andhra Pradesh,2018,2,530016,43386,Southern Region
Andhra Pradesh,2018,2,515001,42466,Southern Region
Andhra Pradesh,2018,2,516001,38402,Southern Region
Andhra Pradesh,2018,2,518002,37593,Southern Region
Andhra Pradesh,2018,2,516360,34544,Southern Region
Andhra Pradesh,2018,2,530026,34126,Southern Region
Andhra Pradesh,2018,2,520010,31871,Southern Region
Andhra Pradesh,2018,2,524002,31134,Southern Region
Andhra Pradesh,2018,3,517501,65157,Southern Region
Andhra Pradesh,2018,3,517507,54849,Southern Region
Andhra Pradesh,2018,3,530016,52259,Southern Region
Andhra Pradesh,2018,3,515001,51449,Southern Region
Andhra Pradesh,2018,3,516001,46691,Southern Region
Andhra Pradesh,2018,3,518002,45145,Southern Region
Andhra Pradesh,2018,3,516360,41963,Southern Region
Andhra Pradesh,2018,3,530026,40580,Southern Region
Andhra Pradesh,2018,3,520010,38918,Southern Region
Andhra Pradesh,2018,3,524002,37559,Southern Region
Andhra Pradesh,2018,4,517501,82873,Southern Region
Andhra Pradesh,2018,4,517507,70421,Southern Region
Andhra Pradesh,2018,4,530016,65549,Southern Region
Andhra Pradesh,2018,4,515001,63576,Southern Region
Andhra Pradesh,2018,4,516001,58028,Southern Region
Andhra Pradesh,2018,4,518002,55735,Southern Region
Andhra Pradesh,2018,4,516360,52058,Southern Region
Andhra Pradesh,2018,4,530026,51900,Southern Region
Andhra Pradesh,2018,4,520010,48991,Southern Region
Andhra Pradesh,2018,4,524002,46616,Southern Region
Andhra Pradesh,2019,1,517501,100561,Southern Region
Andhra Pradesh,2019,1,517507,85980,Southern Region
Andhra Pradesh,2019,1,530016,77790,Southern Region
Andhra Pradesh,2019,1,515001,75171,Southern Region
Andhra Pradesh,2019,1,516001,68514,Southern Region
Andhra Pradesh,2019,1,518002,66689,Southern Region
Andhra Pradesh,2019,1,530026,61623,Southern Region
Andhra Pradesh,2019,1,516360,60798,Southern Region
Andhra Pradesh,2019,1,520010,59055,Southern Region
Andhra Pradesh,2019,1,524002,55931,Southern Region
Andhra Pradesh,2019,2,517501,113033,Southern Region
Andhra Pradesh,2019,2,517507,97534,Southern Region
Andhra Pradesh,2019,2,530016,87556,Southern Region
Andhra Pradesh,2019,2,515001,84157,Southern Region
Andhra Pradesh,2019,2,516001,76617,Southern Region
Andhra Pradesh,2019,2,518002,75952,Southern Region
Andhra Pradesh,2019,2,530026,68283,Southern Region
Andhra Pradesh,2019,2,516360,66885,Southern Region
Andhra Pradesh,2019,2,520010,66082,Southern Region
Andhra Pradesh,2019,2,524002,62933,Southern Region
Andhra Pradesh,2019,3,517501,124727,Southern Region
Andhra Pradesh,2019,3,517507,108199,Southern Region
Andhra Pradesh,2019,3,530016,97323,Southern Region
Andhra Pradesh,2019,3,515001,93191,Southern Region
Andhra Pradesh,2019,3,518002,84918,Southern Region
Andhra Pradesh,2019,3,516001,84693,Southern Region
Andhra Pradesh,2019,3,530026,74501,Southern Region
Andhra Pradesh,2019,3,516360,73267,Southern Region
Andhra Pradesh,2019,3,520010,72722,Southern Region
Andhra Pradesh,2019,3,524002,69783,Southern Region
Andhra Pradesh,2019,4,517501,136436,Southern Region
Andhra Pradesh,2019,4,517507,119146,Southern Region
Andhra Pradesh,2019,4,530016,106404,Southern Region
Andhra Pradesh,2019,4,515001,102848,Southern Region
Andhra Pradesh,2019,4,516001,94209,Southern Region
Andhra Pradesh,2019,4,518002,94193,Southern Region
Andhra Pradesh,2019,4,516360,81619,Southern Region
Andhra Pradesh,2019,4,530026,81191,Southern Region
Andhra Pradesh,2019,4,520010,79453,Southern Region
Andhra Pradesh,2019,4,524002,77681,Southern Region
