State,Year,Quarter,District,Registered_users,Latitude,Longitude,Region
Ladakh,2024,4,Leh Ladakh,141456,34.1642029,77.5848133,Northern Region
Ladakh,2024,4,Kargil,52268,33.802819,76.4730095688732,Northern Region
Lakshadweep,2018,1,Lakshadweep,501,10.8132489,73.6804620941119,Southern Region
Lakshadweep,2018,2,Lakshadweep,686,10.8132489,73.6804620941119,Southern Region
Lakshadweep,2018,3,Lakshadweep,918,10.8132489,73.6804620941119,Southern Region
Lakshadweep,2018,4,Lakshadweep,1156,10.8132489,73.6804620941119,Southern Region
Lakshadweep,2019,1,Lakshadweep,1416,10.8132489,73.6804620941119,Southern Region
Lakshadweep,2019,2,Lakshadweep,1747,10.8132489,73.6804620941119,Southern Region
Lakshadweep,2019,3,Lakshadweep,2117,10.8132489,73.6804620941119,Southern Region
Lakshadweep,2019,4,Lakshadweep,2427,10.8132489,73.6804620941119,Southern Region
Lakshadweep,2020,1,Lakshadweep,2772,10.8132489,73.6804620941119,Southern Region
Lakshadweep,2020,2,Lakshadweep,3187,10.8132489,73.6804620941119,Southern Region
Lakshadweep,2020,3,Lakshadweep,3644,10.8132489,73.6804620941119,Southern Region
Lakshadweep,2020,4,Lakshadweep,4179,10.8132489,73.6804620941119,Southern Region
Lakshadweep,2021,1,Lakshadweep,4577,10.8132489,73.6804620941119,Southern Region
Lakshadweep,2021,2,Lakshadweep,4896,10.8132489,73.6804620941119,Southern Region
Lakshadweep,2021,3,Lakshadweep,5287,10.8132489,73.6804620941119,Southern Region
Lakshadweep,2021,4,Lakshadweep,5638,10.8132489,73.6804620941119,Southern Region
Lakshadweep,2022,1,Lakshadweep,5990,10.8132489,73.6804620941119,Southern Region
Lakshadweep,2022,2,Lakshadweep,6327,10.8132489,73.6804620941119,Southern Region
Lakshadweep,2022,3,Lakshadweep,6645,10.8132489,73.6804620941119,Southern Region
Lakshadweep,2022,4,Lakshadweep,6961,10.8132489,73.6804620941119,Southern Region
Lakshadweep,2023,1,Lakshadweep,7267,10.8132489,73.6804620941119,Southern Region
Lakshadweep,2023,2,Lakshadweep,7585,10.8132489,73.6804620941119,Southern Region
Lakshadweep,2023,3,Lakshadweep,7912,10.8132489,73.6804620941119,Southern Region
Lakshadweep,2023,4,Lakshadweep,8225,10.8132489,73.6804620941119,Southern Region
Lakshadweep,2024,1,Lakshadweep,8578,10.8132489,73.6804620941119,Southern Region
Lakshadweep,2024,2,Lakshadweep,8895,10.8132489,73.6804620941119,Southern Region
Lakshadweep,2024,3,Lakshadweep,11395,10.8132489,73.6804620941119,Southern Region
Lakshadweep,2024,4,Lakshadweep,11769,10.8132489,73.6804620941119,Southern Region
Madhya Pradesh,2018,1,Indore,366977,22.71113445,75.80768747988787,Central Region
Madhya Pradesh,2018,1,Bhopal,307312,23.2301418,77.4179774,Central Region
Madhya Pradesh,2018,1,Gwalior,142453,26.2,78.2,Central Region
Madhya Pradesh,2018,1,Jabalpur,115953,23.22420115,79.98248901574848,Central Region
Madhya Pradesh,2018,1,Ujjain,84441,22.8633236,75.8543994,Central Region
Madhya Pradesh,2018,1,Rewa,73336,23.1689247,80.03308113718485,Central Region
Madhya Pradesh,2018,1,Sagar,72857,21.5479393,79.5481447,Central Region
Madhya Pradesh,2018,1,Chhindwara,65005,22.0509324,78.939744,Central Region
Madhya Pradesh,2018,1,Dhar,63440,22.7109387,75.8334557,Central Region
Madhya Pradesh,2018,1,Dewas,62902,22.9622115,76.048227,Central Region
Madhya Pradesh,2018,2,Indore,479904,22.71113445,75.80768747988787,Central Region
Madhya Pradesh,2018,2,Bhopal,398498,23.2301418,77.4179774,Central Region
Madhya Pradesh,2018,2,Gwalior,193605,26.2,78.2,Central Region
Madhya Pradesh,2018,2,Jabalpur,155624,23.22420115,79.98248901574848,Central Region
Madhya Pradesh,2018,2,Ujjain,113216,22.8633236,75.8543994,Central Region
Madhya Pradesh,2018,2,Rewa,100661,23.1689247,80.03308113718485,Central Region
Madhya Pradesh,2018,2,Sagar,100623,21.5479393,79.5481447,Central Region
Madhya Pradesh,2018,2,Chhindwara,87704,22.0509324,78.939744,Central Region
Madhya Pradesh,2018,2,Dhar,86280,22.7109387,75.8334557,Central Region
Madhya Pradesh,2018,2,Dewas,84342,22.9622115,76.048227,Central Region
Madhya Pradesh,2018,3,Indore,585621,22.71113445,75.80768747988787,Central Region
Madhya Pradesh,2018,3,Bhopal,474192,23.2301418,77.4179774,Central Region
Madhya Pradesh,2018,3,Gwalior,236305,26.2,78.2,Central Region
Madhya Pradesh,2018,3,Jabalpur,193535,23.22420115,79.98248901574848,Central Region
Madhya Pradesh,2018,3,Ujjain,143770,22.8633236,75.8543994,Central Region
Madhya Pradesh,2018,3,Sagar,128283,21.5479393,79.5481447,Central Region
Madhya Pradesh,2018,3,Rewa,125803,23.1689247,80.03308113718485,Central Region
Madhya Pradesh,2018,3,Dhar,110726,22.7109387,75.8334557,Central Region
Madhya Pradesh,2018,3,Chhindwara,109266,22.0509324,78.939744,Central Region
Madhya Pradesh,2018,3,Dewas,105774,22.9622115,76.048227,Central Region
Madhya Pradesh,2018,4,Indore,712479,22.71113445,75.80768747988787,Central Region
Madhya Pradesh,2018,4,Bhopal,571518,23.2301418,77.4179774,Central Region
Madhya Pradesh,2018,4,Gwalior,284894,26.2,78.2,Central Region
Madhya Pradesh,2018,4,Jabalpur,248495,23.22420115,79.98248901574848,Central Region
Madhya Pradesh,2018,4,Ujjain,177894,22.8633236,75.8543994,Central Region
Madhya Pradesh,2018,4,Sagar,162788,21.5479393,79.5481447,Central Region
Madhya Pradesh,2018,4,Rewa,160024,23.1689247,80.03308113718485,Central Region
Madhya Pradesh,2018,4,Chhindwara,139301,22.0509324,78.939744,Central Region
Madhya Pradesh,2018,4,Dhar,137501,22.7109387,75.8334557,Central Region
Madhya Pradesh,2018,4,Satna,133865,24.5684403,80.8321439,Central Region
Madhya Pradesh,2019,1,Indore,844465,22.71113445,75.80768747988787,Central Region
Madhya Pradesh,2019,1,Bhopal,670417,23.2301418,77.4179774,Central Region
Madhya Pradesh,2019,1,Gwalior,331504,26.2,78.2,Central Region
Madhya Pradesh,2019,1,Jabalpur,295042,23.22420115,79.98248901574848,Central Region
Madhya Pradesh,2019,1,Ujjain,214818,22.8633236,75.8543994,Central Region
Madhya Pradesh,2019,1,Sagar,194467,21.5479393,79.5481447,Central Region
Madhya Pradesh,2019,1,Rewa,188803,23.1689247,80.03308113718485,Central Region
Madhya Pradesh,2019,1,Chhindwara,168633,22.0509324,78.939744,Central Region
Madhya Pradesh,2019,1,Dhar,166663,22.7109387,75.8334557,Central Region
Madhya Pradesh,2019,1,Satna,160954,24.5684403,80.8321439,Central Region
Madhya Pradesh,2019,2,Indore,955207,22.71113445,75.80768747988787,Central Region
Madhya Pradesh,2019,2,Bhopal,756839,23.2301418,77.4179774,Central Region
Madhya Pradesh,2019,2,Gwalior,373367,26.2,78.2,Central Region
Madhya Pradesh,2019,2,Jabalpur,336963,23.22420115,79.98248901574848,Central Region
Madhya Pradesh,2019,2,Ujjain,247033,22.8633236,75.8543994,Central Region
Madhya Pradesh,2019,2,Sagar,219328,21.5479393,79.5481447,Central Region
Madhya Pradesh,2019,2,Rewa,211420,23.1689247,80.03308113718485,Central Region
Madhya Pradesh,2019,2,Chhindwara,192226,22.0509324,78.939744,Central Region
Madhya Pradesh,2019,2,Dhar,190659,22.7109387,75.8334557,Central Region
Madhya Pradesh,2019,2,Satna,182176,24.5684403,80.8321439,Central Region
Madhya Pradesh,2019,3,Indore,1071598,22.71113445,75.80768747988787,Central Region
Madhya Pradesh,2019,3,Bhopal,846170,23.2301418,77.4179774,Central Region
Madhya Pradesh,2019,3,Gwalior,417846,26.2,78.2,Central Region
Madhya Pradesh,2019,3,Jabalpur,380209,23.22420115,79.98248901574848,Central Region
Madhya Pradesh,2019,3,Ujjain,280589,22.8633236,75.8543994,Central Region
Madhya Pradesh,2019,3,Sagar,243729,21.5479393,79.5481447,Central Region
Madhya Pradesh,2019,3,Rewa,232367,23.1689247,80.03308113718485,Central Region
Madhya Pradesh,2019,3,Chhindwara,214945,22.0509324,78.939744,Central Region
Madhya Pradesh,2019,3,Dhar,214712,22.7109387,75.8334557,Central Region
Madhya Pradesh,2019,3,Satna,203019,24.5684403,80.8321439,Central Region
Madhya Pradesh,2019,4,Indore,1181500,22.71113445,75.80768747988787,Central Region
Madhya Pradesh,2019,4,Bhopal,926576,23.2301418,77.4179774,Central Region
Madhya Pradesh,2019,4,Gwalior,461960,26.2,78.2,Central Region
Madhya Pradesh,2019,4,Jabalpur,422786,23.22420115,79.98248901574848,Central Region
Madhya Pradesh,2019,4,Ujjain,314250,22.8633236,75.8543994,Central Region
Madhya Pradesh,2019,4,Sagar,272650,21.5479393,79.5481447,Central Region
Madhya Pradesh,2019,4,Rewa,260351,23.1689247,80.03308113718485,Central Region
Madhya Pradesh,2019,4,Dhar,242108,22.7109387,75.8334557,Central Region
Madhya Pradesh,2019,4,Chhindwara,240962,22.0509324,78.939744,Central Region
Madhya Pradesh,2019,4,Satna,228680,24.5684403,80.8321439,Central Region
Madhya Pradesh,2020,1,Indore,1287857,22.71113445,75.80768747988787,Central Region
Madhya Pradesh,2020,1,Bhopal,1003288,23.2301418,77.4179774,Central Region
Madhya Pradesh,2020,1,Gwalior,506221,26.2,78.2,Central Region
Madhya Pradesh,2020,1,Jabalpur,462069,23.22420115,79.98248901574848,Central Region
Madhya Pradesh,2020,1,Ujjain,349476,22.8633236,75.8543994,Central Region
Madhya Pradesh,2020,1,Sagar,299753,21.5479393,79.5481447,Central Region
Madhya Pradesh,2020,1,Rewa,285832,23.1689247,80.03308113718485,Central Region
Madhya Pradesh,2020,1,Dhar,270891,22.7109387,75.8334557,Central Region
Madhya Pradesh,2020,1,Chhindwara,268008,22.0509324,78.939744,Central Region
Madhya Pradesh,2020,1,Satna,253988,24.5684403,80.8321439,Central Region
Madhya Pradesh,2020,2,Indore,1410157,22.71113445,75.80768747988787,Central Region
Madhya Pradesh,2020,2,Bhopal,1080094,23.2301418,77.4179774,Central Region
Madhya Pradesh,2020,2,Gwalior,554377,26.2,78.2,Central Region
Madhya Pradesh,2020,2,Jabalpur,507707,23.22420115,79.98248901574848,Central Region
Madhya Pradesh,2020,2,Ujjain,395028,22.8633236,75.8543994,Central Region
Madhya Pradesh,2020,2,Sagar,333878,21.5479393,79.5481447,Central Region
Madhya Pradesh,2020,2,Rewa,313486,23.1689247,80.03308113718485,Central Region
Madhya Pradesh,2020,2,Dhar,310389,22.7109387,75.8334557,Central Region
Madhya Pradesh,2020,2,Chhindwara,302791,22.0509324,78.939744,Central Region
Madhya Pradesh,2020,2,Satna,281414,24.5684403,80.8321439,Central Region
Madhya Pradesh,2020,3,Indore,1524036,22.71113445,75.80768747988787,Central Region
Madhya Pradesh,2020,3,Bhopal,1162000,23.2301418,77.4179774,Central Region
Madhya Pradesh,2020,3,Gwalior,603096,26.2,78.2,Central Region
Madhya Pradesh,2020,3,Jabalpur,555235,23.22420115,79.98248901574848,Central Region
Madhya Pradesh,2020,3,Ujjain,436068,22.8633236,75.8543994,Central Region
Madhya Pradesh,2020,3,Sagar,368745,21.5479393,79.5481447,Central Region
Madhya Pradesh,2020,3,Dhar,346394,22.7109387,75.8334557,Central Region
Madhya Pradesh,2020,3,Rewa,343897,23.1689247,80.03308113718485,Central Region
Madhya Pradesh,2020,3,Chhindwara,336306,22.0509324,78.939744,Central Region
Madhya Pradesh,2020,3,Satna,311884,24.5684403,80.8321439,Central Region
Madhya Pradesh,2020,4,Indore,1645564,22.71113445,75.80768747988787,Central Region
Madhya Pradesh,2020,4,Bhopal,1249343,23.2301418,77.4179774,Central Region
Madhya Pradesh,2020,4,Gwalior,652985,26.2,78.2,Central Region
Madhya Pradesh,2020,4,Jabalpur,604034,23.22420115,79.98248901574848,Central Region
Madhya Pradesh,2020,4,Ujjain,475637,22.8633236,75.8543994,Central Region
Madhya Pradesh,2020,4,Sagar,402006,21.5479393,79.5481447,Central Region
Madhya Pradesh,2020,4,Dhar,382523,22.7109387,75.8334557,Central Region
Madhya Pradesh,2020,4,Rewa,374099,23.1689247,80.03308113718485,Central Region
Madhya Pradesh,2020,4,Chhindwara,370027,22.0509324,78.939744,Central Region
Madhya Pradesh,2020,4,Satna,340632,24.5684403,80.8321439,Central Region
Madhya Pradesh,2021,1,Indore,1769869,22.71113445,75.80768747988787,Central Region
Madhya Pradesh,2021,1,Bhopal,1340741,23.2301418,77.4179774,Central Region
Madhya Pradesh,2021,1,Gwalior,703232,26.2,78.2,Central Region
Madhya Pradesh,2021,1,Jabalpur,650087,23.22420115,79.98248901574848,Central Region
Madhya Pradesh,2021,1,Ujjain,513868,22.8633236,75.8543994,Central Region
Madhya Pradesh,2021,1,Sagar,432938,21.5479393,79.5481447,Central Region
Madhya Pradesh,2021,1,Dhar,415117,22.7109387,75.8334557,Central Region
Madhya Pradesh,2021,1,Rewa,403013,23.1689247,80.03308113718485,Central Region
Madhya Pradesh,2021,1,Chhindwara,399276,22.0509324,78.939744,Central Region
Madhya Pradesh,2021,1,Satna,368299,24.5684403,80.8321439,Central Region
Madhya Pradesh,2021,2,Indore,1892259,22.71113445,75.80768747988787,Central Region
Madhya Pradesh,2021,2,Bhopal,1431127,23.2301418,77.4179774,Central Region
Madhya Pradesh,2021,2,Gwalior,753172,26.2,78.2,Central Region
Madhya Pradesh,2021,2,Jabalpur,695130,23.22420115,79.98248901574848,Central Region
Madhya Pradesh,2021,2,Ujjain,552204,22.8633236,75.8543994,Central Region
Madhya Pradesh,2021,2,Sagar,464791,21.5479393,79.5481447,Central Region
Madhya Pradesh,2021,2,Dhar,447074,22.7109387,75.8334557,Central Region
Madhya Pradesh,2021,2,Rewa,432682,23.1689247,80.03308113718485,Central Region
Madhya Pradesh,2021,2,Chhindwara,428800,22.0509324,78.939744,Central Region
Madhya Pradesh,2021,2,Satna,395440,24.5684403,80.8321439,Central Region
Madhya Pradesh,2021,3,Indore,2028266,22.71113445,75.80768747988787,Central Region
Madhya Pradesh,2021,3,Bhopal,1531544,23.2301418,77.4179774,Central Region
Madhya Pradesh,2021,3,Gwalior,809887,26.2,78.2,Central Region
Madhya Pradesh,2021,3,Jabalpur,745631,23.22420115,79.98248901574848,Central Region
Madhya Pradesh,2021,3,Ujjain,596195,22.8633236,75.8543994,Central Region
Madhya Pradesh,2021,3,Sagar,501819,21.5479393,79.5481447,Central Region
Madhya Pradesh,2021,3,Dhar,483901,22.7109387,75.8334557,Central Region
Madhya Pradesh,2021,3,Rewa,466895,23.1689247,80.03308113718485,Central Region
Madhya Pradesh,2021,3,Chhindwara,462834,22.0509324,78.939744,Central Region
Madhya Pradesh,2021,3,Satna,426929,24.5684403,80.8321439,Central Region
Madhya Pradesh,2021,4,Indore,2164101,22.71113445,75.80768747988787,Central Region
Madhya Pradesh,2021,4,Bhopal,1633266,23.2301418,77.4179774,Central Region
Madhya Pradesh,2021,4,Gwalior,866561,26.2,78.2,Central Region
Madhya Pradesh,2021,4,Jabalpur,796148,23.22420115,79.98248901574848,Central Region
Madhya Pradesh,2021,4,Ujjain,639197,22.8633236,75.8543994,Central Region
Madhya Pradesh,2021,4,Sagar,538447,21.5479393,79.5481447,Central Region
Madhya Pradesh,2021,4,Dhar,519970,22.7109387,75.8334557,Central Region
Madhya Pradesh,2021,4,Rewa,500513,23.1689247,80.03308113718485,Central Region
Madhya Pradesh,2021,4,Chhindwara,495990,22.0509324,78.939744,Central Region
Madhya Pradesh,2021,4,Satna,457858,24.5684403,80.8321439,Central Region
Madhya Pradesh,2022,1,Indore,2291709,22.71113445,75.80768747988787,Central Region
Madhya Pradesh,2022,1,Bhopal,1729248,23.2301418,77.4179774,Central Region
Madhya Pradesh,2022,1,Gwalior,919789,26.2,78.2,Central Region
Madhya Pradesh,2022,1,Jabalpur,844191,23.22420115,79.98248901574848,Central Region
Madhya Pradesh,2022,1,Ujjain,680599,22.8633236,75.8543994,Central Region
Madhya Pradesh,2022,1,Sagar,573791,21.5479393,79.5481447,Central Region
Madhya Pradesh,2022,1,Dhar,554545,22.7109387,75.8334557,Central Region
Madhya Pradesh,2022,1,Rewa,533627,23.1689247,80.03308113718485,Central Region
Madhya Pradesh,2022,1,Chhindwara,528140,22.0509324,78.939744,Central Region
Madhya Pradesh,2022,1,Satna,488378,24.5684403,80.8321439,Central Region
Madhya Pradesh,2022,2,Indore,2412576,22.71113445,75.80768747988787,Central Region
Madhya Pradesh,2022,2,Bhopal,1820625,23.2301418,77.4179774,Central Region
Madhya Pradesh,2022,2,Gwalior,970340,26.2,78.2,Central Region
Madhya Pradesh,2022,2,Jabalpur,889518,23.22420115,79.98248901574848,Central Region
Madhya Pradesh,2022,2,Ujjain,719339,22.8633236,75.8543994,Central Region
Madhya Pradesh,2022,2,Sagar,605733,21.5479393,79.5481447,Central Region
Madhya Pradesh,2022,2,Dhar,586670,22.7109387,75.8334557,Central Region
Madhya Pradesh,2022,2,Rewa,564327,23.1689247,80.03308113718485,Central Region
Madhya Pradesh,2022,2,Chhindwara,557958,22.0509324,78.939744,Central Region
Madhya Pradesh,2022,2,Satna,516107,24.5684403,80.8321439,Central Region
Madhya Pradesh,2022,3,Indore,2537328,22.71113445,75.80768747988787,Central Region
Madhya Pradesh,2022,3,Bhopal,1915532,23.2301418,77.4179774,Central Region
Madhya Pradesh,2022,3,Gwalior,1022539,26.2,78.2,Central Region
Madhya Pradesh,2022,3,Jabalpur,935649,23.22420115,79.98248901574848,Central Region
Madhya Pradesh,2022,3,Ujjain,758373,22.8633236,75.8543994,Central Region
Madhya Pradesh,2022,3,Sagar,638100,21.5479393,79.5481447,Central Region
Madhya Pradesh,2022,3,Dhar,618777,22.7109387,75.8334557,Central Region
Madhya Pradesh,2022,3,Rewa,594588,23.1689247,80.03308113718485,Central Region
Madhya Pradesh,2022,3,Chhindwara,587412,22.0509324,78.939744,Central Region
Madhya Pradesh,2022,3,Satna,544011,24.5684403,80.8321439,Central Region
Madhya Pradesh,2022,4,Indore,2660518,22.71113445,75.80768747988787,Central Region
Madhya Pradesh,2022,4,Bhopal,2009655,23.2301418,77.4179774,Central Region
Madhya Pradesh,2022,4,Gwalior,1073648,26.2,78.2,Central Region
Madhya Pradesh,2022,4,Jabalpur,980428,23.22420115,79.98248901574848,Central Region
Madhya Pradesh,2022,4,Ujjain,794711,22.8633236,75.8543994,Central Region
Madhya Pradesh,2022,4,Sagar,667526,21.5479393,79.5481447,Central Region
Madhya Pradesh,2022,4,Dhar,648535,22.7109387,75.8334557,Central Region
Madhya Pradesh,2022,4,Rewa,622122,23.1689247,80.03308113718485,Central Region
Madhya Pradesh,2022,4,Chhindwara,613456,22.0509324,78.939744,Central Region
Madhya Pradesh,2022,4,Satna,569320,24.5684403,80.8321439,Central Region
Madhya Pradesh,2023,1,Indore,2780295,22.71113445,75.80768747988787,Central Region
Madhya Pradesh,2023,1,Bhopal,2101098,23.2301418,77.4179774,Central Region
Madhya Pradesh,2023,1,Gwalior,1123707,26.2,78.2,Central Region
Madhya Pradesh,2023,1,Jabalpur,1025803,23.22420115,79.98248901574848,Central Region
Madhya Pradesh,2023,1,Ujjain,832451,22.8633236,75.8543994,Central Region
Madhya Pradesh,2023,1,Sagar,699722,21.5479393,79.5481447,Central Region
Madhya Pradesh,2023,1,Dhar,679569,22.7109387,75.8334557,Central Region
Madhya Pradesh,2023,1,Rewa,651354,23.1689247,80.03308113718485,Central Region
Madhya Pradesh,2023,1,Chhindwara,642022,22.0509324,78.939744,Central Region
Madhya Pradesh,2023,1,Satna,596769,24.5684403,80.8321439,Central Region
Madhya Pradesh,2023,2,Indore,2883610,22.71113445,75.80768747988787,Central Region
Madhya Pradesh,2023,2,Bhopal,2179557,23.2301418,77.4179774,Central Region
Madhya Pradesh,2023,2,Gwalior,1168513,26.2,78.2,Central Region
Madhya Pradesh,2023,2,Jabalpur,1065846,23.22420115,79.98248901574848,Central Region
Madhya Pradesh,2023,2,Ujjain,868546,22.8633236,75.8543994,Central Region
Madhya Pradesh,2023,2,Sagar,730094,21.5479393,79.5481447,Central Region
Madhya Pradesh,2023,2,Dhar,710181,22.7109387,75.8334557,Central Region
Madhya Pradesh,2023,2,Rewa,680100,23.1689247,80.03308113718485,Central Region
Madhya Pradesh,2023,2,Chhindwara,670155,22.0509324,78.939744,Central Region
Madhya Pradesh,2023,2,Satna,623076,24.5684403,80.8321439,Central Region
Madhya Pradesh,2023,3,Indore,2996261,22.71113445,75.80768747988787,Central Region
Madhya Pradesh,2023,3,Bhopal,2265685,23.2301418,77.4179774,Central Region
Madhya Pradesh,2023,3,Gwalior,1215484,26.2,78.2,Central Region
Madhya Pradesh,2023,3,Jabalpur,1108465,23.22420115,79.98248901574848,Central Region
Madhya Pradesh,2023,3,Ujjain,905474,22.8633236,75.8543994,Central Region
Madhya Pradesh,2023,3,Sagar,761623,21.5479393,79.5481447,Central Region
Madhya Pradesh,2023,3,Dhar,740878,22.7109387,75.8334557,Central Region
Madhya Pradesh,2023,3,Rewa,708385,23.1689247,80.03308113718485,Central Region
Madhya Pradesh,2023,3,Chhindwara,698604,22.0509324,78.939744,Central Region
Madhya Pradesh,2023,3,Satna,649398,24.5684403,80.8321439,Central Region
Madhya Pradesh,2023,4,Indore,3098089,22.71113445,75.80768747988787,Central Region
Madhya Pradesh,2023,4,Bhopal,2344171,23.2301418,77.4179774,Central Region
Madhya Pradesh,2023,4,Gwalior,1257720,26.2,78.2,Central Region
Madhya Pradesh,2023,4,Jabalpur,1147811,23.22420115,79.98248901574848,Central Region
Madhya Pradesh,2023,4,Ujjain,938748,22.8633236,75.8543994,Central Region
Madhya Pradesh,2023,4,Sagar,790240,21.5479393,79.5481447,Central Region
Madhya Pradesh,2023,4,Dhar,768839,22.7109387,75.8334557,Central Region
Madhya Pradesh,2023,4,Rewa,734299,23.1689247,80.03308113718485,Central Region
Madhya Pradesh,2023,4,Chhindwara,724870,22.0509324,78.939744,Central Region
Madhya Pradesh,2023,4,Satna,673980,24.5684403,80.8321439,Central Region
Madhya Pradesh,2024,1,Indore,3217251,22.71113445,75.80768747988787,Central Region
Madhya Pradesh,2024,1,Bhopal,2436143,23.2301418,77.4179774,Central Region
Madhya Pradesh,2024,1,Gwalior,1307564,26.2,78.2,Central Region
Madhya Pradesh,2024,1,Jabalpur,1193636,23.22420115,79.98248901574848,Central Region
Madhya Pradesh,2024,1,Ujjain,978177,22.8633236,75.8543994,Central Region
Madhya Pradesh,2024,1,Sagar,824727,21.5479393,79.5481447,Central Region
Madhya Pradesh,2024,1,Dhar,802038,22.7109387,75.8334557,Central Region
Madhya Pradesh,2024,1,Rewa,764984,23.1689247,80.03308113718485,Central Region
Madhya Pradesh,2024,1,Chhindwara,756689,22.0509324,78.939744,Central Region
Madhya Pradesh,2024,1,Satna,703168,24.5684403,80.8321439,Central Region
Madhya Pradesh,2024,2,Indore,3336262,22.71113445,75.80768747988787,Central Region
Madhya Pradesh,2024,2,Bhopal,2528021,23.2301418,77.4179774,Central Region
Madhya Pradesh,2024,2,Gwalior,1355896,26.2,78.2,Central Region
Madhya Pradesh,2024,2,Jabalpur,1239008,23.22420115,79.98248901574848,Central Region
Madhya Pradesh,2024,2,Ujjain,1015587,22.8633236,75.8543994,Central Region
Madhya Pradesh,2024,2,Sagar,856655,21.5479393,79.5481447,Central Region
Madhya Pradesh,2024,2,Dhar,833099,22.7109387,75.8334557,Central Region
Madhya Pradesh,2024,2,Rewa,794199,23.1689247,80.03308113718485,Central Region
Madhya Pradesh,2024,2,Chhindwara,785786,22.0509324,78.939744,Central Region
Madhya Pradesh,2024,2,Satna,730055,24.5684403,80.8321439,Central Region
Madhya Pradesh,2024,3,Indore,3457022,22.71113445,75.80768747988787,Central Region
Madhya Pradesh,2024,3,Bhopal,2456267,23.2301418,77.4179774,Central Region
Madhya Pradesh,2024,3,Gwalior,1370838,26.2,78.2,Central Region
Madhya Pradesh,2024,3,Jabalpur,1280233,23.22420115,79.98248901574848,Central Region
Madhya Pradesh,2024,3,Ujjain,1086484,22.8633236,75.8543994,Central Region
Madhya Pradesh,2024,3,Dhar,937167,22.7109387,75.8334557,Central Region
Madhya Pradesh,2024,3,Sagar,912167,21.5479393,79.5481447,Central Region
Madhya Pradesh,2024,3,Dewas,710884,22.9622115,76.048227,Central Region
Madhya Pradesh,2024,3,Chhindwara,702158,22.0509324,78.939744,Central Region
Madhya Pradesh,2024,3,Ratlam,683793,22.71673845,75.88149165574566,Central Region
Madhya Pradesh,2024,4,Indore,3561408,22.71113445,75.80768747988787,Central Region
Madhya Pradesh,2024,4,Bhopal,2532916,23.2301418,77.4179774,Central Region
Madhya Pradesh,2024,4,Gwalior,1415249,26.2,78.2,Central Region
Madhya Pradesh,2024,4,Jabalpur,1322938,23.22420115,79.98248901574848,Central Region
Madhya Pradesh,2024,4,Ujjain,1122016,22.8633236,75.8543994,Central Region
Madhya Pradesh,2024,4,Dhar,967815,22.7109387,75.8334557,Central Region
Madhya Pradesh,2024,4,Sagar,944144,21.5479393,79.5481447,Central Region
Madhya Pradesh,2024,4,Dewas,732757,22.9622115,76.048227,Central Region
Madhya Pradesh,2024,4,Chhindwara,728140,22.0509324,78.939744,Central Region
Madhya Pradesh,2024,4,Ratlam,706494,22.71673845,75.88149165574566,Central Region
Maharashtra,2018,1,Pune,1211643,18.527863,73.85568328231989,Western Region
Maharashtra,2018,1,Mumbai Suburban,719300,19.2713708,76.7644813,Western Region
Maharashtra,2018,1,Thane,631864,19.19682175,72.9786988514791,Western Region
Maharashtra,2018,1,Nashik,321402,19.9969676,73.7782466,Western Region
Maharashtra,2018,1,Nagpur,280007,21.1170373,79.1045331,Western Region
Maharashtra,2018,1,Aurangabad,266324,19.8799062683,75.33891908889,Western Region
Maharashtra,2018,1,Mumbai,233538,19.0517979,72.8292773,Western Region
Maharashtra,2018,1,Ahmednagar,197473,19.108436,74.735394,Western Region
Maharashtra,2018,1,Solapur,190033,17.66787665,75.90672723846026,Western Region
Maharashtra,2018,1,Raigad,173015,20.1700227,79.97914161206661,Western Region
Maharashtra,2018,2,Pune,1592293,18.527863,73.85568328231989,Western Region
Maharashtra,2018,2,Mumbai Suburban,957633,19.2713708,76.7644813,Western Region
Maharashtra,2018,2,Thane,861292,19.19682175,72.9786988514791,Western Region
Maharashtra,2018,2,Nashik,436668,19.9969676,73.7782466,Western Region
Maharashtra,2018,2,Nagpur,380425,21.1170373,79.1045331,Western Region
Maharashtra,2018,2,Aurangabad,347838,19.8799062683,75.33891908889,Western Region
Maharashtra,2018,2,Mumbai,319588,19.0517979,72.8292773,Western Region
Maharashtra,2018,2,Ahmednagar,268520,19.108436,74.735394,Western Region
Maharashtra,2018,2,Solapur,259084,17.66787665,75.90672723846026,Western Region
Maharashtra,2018,2,Palghar,239053,20.1700227,79.97914161206661,Western Region
Maharashtra,2018,3,Pune,1974138,18.527863,73.85568328231989,Western Region
Maharashtra,2018,3,Mumbai Suburban,1218632,19.2713708,76.7644813,Western Region
Maharashtra,2018,3,Thane,1104206,19.19682175,72.9786988514791,Western Region
Maharashtra,2018,3,Nashik,552556,19.9969676,73.7782466,Western Region
Maharashtra,2018,3,Nagpur,487280,21.1170373,79.1045331,Western Region
Maharashtra,2018,3,Aurangabad,428394,19.8799062683,75.33891908889,Western Region
Maharashtra,2018,3,Mumbai,410878,19.0517979,72.8292773,Western Region
Maharashtra,2018,3,Ahmednagar,344804,19.108436,74.735394,Western Region
Maharashtra,2018,3,Solapur,331428,17.66787665,75.90672723846026,Western Region
Maharashtra,2018,3,Palghar,312322,20.1700227,79.97914161206661,Western Region
Maharashtra,2018,4,Pune,2498852,18.527863,73.85568328231989,Western Region
